날짜,위도,경도
2024-09-26,37.49543309,126.8875053
2023-12-11,37.49543309,126.8875053
2024-09-19,37.49543309,126.8875053
2024-09-12,37.49543309,126.8875053
2024-09-27,37.49543309,126.8875053
2024-09-30,37.49543309,126.8875053
2024-08-28,37.49543309,126.8875053
2024-09-02,37.49543309,126.8875053
2024-05-08,37.49543309,126.8875053
2024-07-24,37.49543309,126.8875053
2024-08-02,37.49083457,126.8915965
2024-08-16,37.49083457,126.8915965
2024-07-09,37.49142713,126.8855483
2024-09-05,37.50310609,126.8724636
2024-09-13,37.48956013,126.8863608
2024-04-02,37.4881541,126.885888
2024-07-15,37.49961783,126.8720352
2024-07-15,37.48625714,126.8874151
2024-05-09,37.49944622,126.8708244
2024-05-31,37.49941471,126.8708414
2024-07-25,37.49044178,126.880532
2024-07-16,37.49044178,126.880532
2024-05-03,37.48797198,126.8803014
2024-09-09,37.49823385,126.8671048
2024-08-29,37.49832263,126.8659342
2024-08-29,37.49832263,126.8659342
2024-08-29,37.49832263,126.8659342
2024-05-22,37.48661619,126.8787579
2024-09-30,37.50658241,126.8532737
2024-09-12,37.50658241,126.8532737
2024-08-12,37.50658241,126.8532737
2024-06-20,37.50404328,126.8531961
2024-08-26,37.50516842,126.8523005
2024-09-03,37.49675118,126.8559052
2024-09-03,37.49675118,126.8559052
2024-09-05,37.49675118,126.8559052
2024-09-05,37.49675118,126.8559052
2024-09-02,37.49674308,126.855912
2024-08-26,37.50026551,126.8511464
2024-09-04,37.49177606,126.8551428
2024-09-24,37.50451153,126.8432339
2024-08-13,37.49165169,126.8538729
2024-05-02,37.4882989,126.8559554
2023-12-18,37.49165671,126.8484169
2024-08-26,37.48885732,126.8471889
2024-07-04,37.50209083,126.8347941
2024-07-04,37.49652801,126.8322281
2024-07-26,37.48394297,126.8401821
2024-09-20,37.49415217,126.8218413
2024-09-20,37.49415217,126.8218413
2024-09-20,37.4928353,126.8209172
2024-05-23,37.49180398,126.8205374
2022-06-29,37.48625714,126.8874151
2024-07-22,37.50183677,126.8868058
2023-08-01,37.50292255,126.8865016
2023-06-27,37.49271998,126.8616281
2024-07-22,37.50555202,126.8901027
2024-05-27,37.50822219,126.891611
2024-03-29,37.49573158,126.8906621
2023-06-27,37.49267307,126.8610434
2022-12-21,37.49240979,126.8631981
2024-09-03,37.49862228,126.8376916
2024-04-01,37.49543309,126.8875053
2024-10-10,37.50900025,126.8747948
2024-04-18,37.49260825,126.8319541
2023-12-20,37.49165671,126.8484169
2024-06-10,37.49543309,126.8875053
2024-07-25,37.49044178,126.880532
2024-08-13,37.50658241,126.8532737
2024-04-05,37.4881541,126.885888
2024-07-08,37.50209083,126.8347941
2024-07-29,37.49543309,126.8875053
2024-06-26,37.49823385,126.8671048
2024-08-01,37.49780463,126.8652125
2024-06-19,37.49652801,126.8322281
2024-07-01,37.49523578,126.834071
2024-07-17,37.49142713,126.8855483
2024-09-09,37.49675118,126.8559052
2024-09-27,37.4916288,126.8891619
2024-09-09,37.49675118,126.8559052
2024-09-30,37.49823385,126.8671048
2024-03-04,37.49543309,126.8875053
2024-08-09,37.49524337,126.8888767
2024-03-11,37.49543309,126.8875053
2023-06-27,37.49543309,126.8875053
2024-07-17,37.49044178,126.880532
2024-10-25,37.49543309,126.8875053
